stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_shelter,has_shelter_with_bench,has_bench
15288,15463,Wilson Station,,43.734268,-79.450679,,,,,,2,FALSE,FALSE,FALSE
15290,15465,Wilson Station,,43.734735,-79.450865,,,,,,2,FALSE,FALSE,FALSE
15291,15466,Wilson Station,,43.734302,-79.450724,,,,,,2,FALSE,FALSE,FALSE
15293,15318,Wilson Station,,43.734937,-79.451122,,,,,,2,FALSE,FALSE,FALSE
15462,15287,Dundas West Station,,43.65685,-79.453232,,,,,,1,FALSE,FALSE,FALSE
15475,15594,Renforth Station,,43.66359,-79.590572,,,,,,1,FALSE,FALSE,FALSE
15681,15599,Renforth Station,,43.663613,-79.590482,,,,,,1,FALSE,FALSE,FALSE
23848,15571,Pioneer Village Station,,43.776668,-79.508937,,,,,,1,FALSE,FALSE,FALSE
23849,15572,Pioneer Village Station,,43.776747,-79.509208,,,,,,1,FALSE,FALSE,FALSE
23850,15573,Pioneer Village Station,,43.776806,-79.509408,,,,,,1,FALSE,FALSE,FALSE
23851,15574,Pioneer Village Station,,43.776878,-79.50968,,,,,,1,FALSE,FALSE,FALSE
23852,15575,Pioneer Village Station,,43.776939,-79.509883,,,,,,1,FALSE,FALSE,FALSE
23854,15577,Pioneer Village Station,,43.777064,-79.50966,,,,,,1,FALSE,FALSE,FALSE
23855,15578,Pioneer Village Station,,43.776996,-79.509404,,,,,,1,FALSE,FALSE,FALSE
23856,15579,Pioneer Village Station,,43.776902,-79.509087,,,,,,1,FALSE,FALSE,FALSE
23857,15580,Pioneer Village Station,,43.776839,-79.508835,,,,,,1,FALSE,FALSE,FALSE
23860,15565,Finch West Station,,43.765364,-79.490954,,,,,,1,FALSE,FALSE,FALSE
23861,15566,Finch West Station,,43.765126,-79.490896,,,,,,1,FALSE,FALSE,FALSE
23862,15567,Finch West Station,,43.764919,-79.490859,,,,,,1,FALSE,FALSE,FALSE
23863,15568,Finch West Station,,43.764723,-79.49081,,,,,,1,FALSE,FALSE,FALSE
24106,15311,Warden Station,,43.711028,-79.280133,,,,,,2,FALSE,FALSE,FALSE
24170,15297,Old Mill Station,,43.650311,-79.495025,,,,,,1,FALSE,FALSE,FALSE
24435,16045,Islington Station,,43.644743,-79.524639,,,,,,2,FALSE,FALSE,TRUE
24436,16046,Islington Station,,43.644788,-79.52439,,,,,,2,FALSE,FALSE,FALSE
24437,16047,Islington Station,,43.644842,-79.524167,,,,,,2,FALSE,FALSE,TRUE
24438,16048,Islington Ave at Islington Station,,43.645156,-79.523769,,,,,,1,FALSE,FALSE,FALSE
24461,15300,Rosedale Station,,43.676639,-79.388776,,,,,,1,FALSE,FALSE,FALSE
24580,16335,Scarborough Centre Station,,43.774807,-79.256381,,,,,,1,FALSE,FALSE,FALSE
24589,16345,Downsview Park Trail at Downsview Park Station,,43.753599,-79.477497,,,,,,1,FALSE,FALSE,FALSE
24594,16333,Scarborough Centre Station,,43.774771,-79.256867,,,,,,1,FALSE,FALSE,FALSE
24595,16334,Scarborough Centre Station,,43.774789,-79.256643,,,,,,1,FALSE,FALSE,TRUE
24633,16371,St.Clair West Station,,43.683705,-79.415107,,,,,,1,FALSE,FALSE,FALSE
24634,16372,St.Clair West Station,,43.683866,-79.415157,,,,,,1,FALSE,FALSE,FALSE
24662,15283,Coxwell Station,,43.684049,-79.323051,,,,,,1,FALSE,FALSE,FALSE
24663,15306,St Clair Station,,43.68768,-79.392714,,,,,,1,FALSE,FALSE,FALSE
24665,16381,Kennedy Station,,43.731826,-79.264047,,,,,,1,FALSE,FALSE,FALSE
