_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
3178,5434,TR-00124,2411,Lawrence Ave E,Lawrence Ave E,South,Kennedy Rd,East,739,21,Kennedy Road,A,Existing,Provincial,0TS10652,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2742501717526, 43.7494889985912]]}"
3179,5441,SH-03613,1010,King St W,Shaw St,East,King St W,North,T11695,10,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4150133960592, 43.64175393855]]}"
3180,5451,SH-00224,2001,Albion Rd,Albion Rd,South,Steinway Blvd,West,T13433,01,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.6290752250428, 43.748037219253]]}"
3181,5453,SH-03590,195,Steinway Blvd,Albion Rd,North,Steinway Blvd,East,T13428,01,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.6282646805008, 43.7481729427682]]}"
3182,5463,SH-01526,2315,Eglinton Ave W,Eglinton Ave W,South,Caledonia Rd,West,T2334,09,None,C,Temporarily Removed,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4623271345383, 43.6929022025671]]}"
3183,5464,SH-03076,1840A-1848A,Lawrence Ave E,Lawrence Ave E,North,Pharmacy Ave,East,T5306,21,Wexford Heights,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3044040008452, 43.7434660896124]]}"
3184,5466,TR-06714,None,Keele St,Keele St,West,Four Winds Dr,North,T3995,07,DuKe Heights,S,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4919204182033, 43.7658999158828]]}"
3185,5467,TR-06360,28,Colonel Samuel Smith Park Dr,Colonel Samuel Smith Park Dr,West,Lake Shore Blvd W,South,T12120,03,None,S,Existing,Provincial,S0612120,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5166990781639, 43.5943162524879]]}"
3186,5470,TR-06398,1225,Queen St E,Queen St E,South,Leslie St,West,T3056,14,Leslieville,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3303891518163, 43.6631485789073]]}"
3187,5471,TR-06402,379,Rathburn Rd,The East Mall,East,Rathburn Rd,South,T2216,02,None,LK,Existing,Provincial,0TS13784,Yes,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5639958150837, 43.6547368094061]]}"
